id,name,description,block,floor,type,directions,map_embed_url,map_directions_url
VIIT-G-01,Main Gate,VIIT Campus Main Entrance,Campus,0,Gate,Locate Main Gate at Main Entrance within the VIIT Campus Area.,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3800.7244110041142!2d83.16591749999998!3d17.7104743!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a3968cb428b8087%3A0xaa3e198c43836a65!2sVignan's%20Institute%20Of%20Information%20Technology!5e0!3m2!1sen!2sin!4v1773767014835!5m2!1sen!2sin,"https://www.google.com/maps/dir/?api=1&origin=My+Location&destination=17.76785,83.22584&travelmode=walking"
VIIT-B-01,Dharithri Block,Main academic building (G+4 floors),Dharithri,0,Building,Enter Dharithri Block → Follow signs to Dharithri Block,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3800.7244110041142!2d83.16591749999998!3d17.7104743!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a3968cb428b8087%3A0xaa3e198c43836a65!2sVignan's%20Institute%20Of%20Information%20Technology!5e0!3m2!1sen!2sin!4v1773767014835!5m2!1sen!2sin,"https://www.google.com/maps/dir/?api=1&origin=My+Location&destination=17.772,83.2282&travelmode=walking"
VIIT-S-01,Cricket Ground,Sports facility near Pharmacy College,Campus,0,Sports,Locate Cricket Ground at Near Pharmacy College within the VIIT Campus Area.,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3800.7244110041142!2d83.16591749999998!3d17.7104743!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a3968cb428b8087%3A0xaa3e198c43836a65!2sVignan's%20Institute%20Of%20Information%20Technology!5e0!3m2!1sen!2sin!4v1773767014835!5m2!1sen!2sin,"https://www.google.com/maps/dir/?api=1&origin=My+Location&destination=17.7716,83.2284&travelmode=walking"
VIIT-S-02,Football Ground,Near Dharithri Block west side,Campus,0,Sports,Locate Football Ground at West of Dharithri within the VIIT Campus Area.,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3800.7244110041142!2d83.16591749999998!3d17.7104743!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a3968cb428b8087%3A0xaa3e198c43836a65!2sVignan's%20Institute%20Of%20Information%20Technology!5e0!3m2!1sen!2sin!4v1773767014835!5m2!1sen!2sin,"https://www.google.com/maps/dir/?api=1&origin=My+Location&destination=17.772,83.2278&travelmode=walking"
VIIT-P-01,Faculty Parking,Parking area near Dharithri Block,Campus,0,Parking,Locate Faculty Parking at Near Dharithri within the VIIT Campus Area.,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3800.7244110041142!2d83.16591749999998!3d17.7104743!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a3968cb428b8087%3A0xaa3e198c43836a65!2sVignan's%20Institute%20Of%20Information%20Technology!5e0!3m2!1sen!2sin!4v1773767014835!5m2!1sen!2sin,"https://www.google.com/maps/dir/?api=1&origin=My+Location&destination=17.772,83.2282&travelmode=walking"
VIIT-B-02,New Block,New academic block (under construction),Campus,0,Building,Locate New Block at Under Construction within the VIIT Campus Area.,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3800.7244110041142!2d83.16591749999998!3d17.7104743!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a3968cb428b8087%3A0xaa3e198c43836a65!2sVignan's%20Institute%20Of%20Information%20Technology!5e0!3m2!1sen!2sin!4v1773767014835!5m2!1sen!2sin,"https://www.google.com/maps/dir/?api=1&origin=My+Location&destination=17.7728,83.2285&travelmode=walking"
VIIT-B-03,Pharmacy College,Separate pharmacy college building,Campus,0,Building,Locate Pharmacy College at Separate Building within the VIIT Campus Area.,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3800.7244110041142!2d83.16591749999998!3d17.7104743!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a3968cb428b8087%3A0xaa3e198c43836a65!2sVignan's%20Institute%20Of%20Information%20Technology!5e0!3m2!1sen!2sin!4v1773767014835!5m2!1sen!2sin,"https://www.google.com/maps/dir/?api=1&origin=My+Location&destination=17.7705,83.2274&travelmode=walking"
VIIT-H-01,Girls Hostel,Girls hostel near campus north,Campus,0,Hostel,Locate Girls Hostel at Campus North within the VIIT Campus Area.,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3800.7244110041142!2d83.16591749999998!3d17.7104743!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a3968cb428b8087%3A0xaa3e198c43836a65!2sVignan's%20Institute%20Of%20Information%20Technology!5e0!3m2!1sen!2sin!4v1773767014835!5m2!1sen!2sin,"https://www.google.com/maps/dir/?api=1&origin=My+Location&destination=17.7725,83.2295&travelmode=walking"
VIIT-A-01,ATM,ATM near student parking,Campus,0,Facility,Locate ATM at Near Student Parking within the VIIT Campus Area.,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3800.7244110041142!2d83.16591749999998!3d17.7104743!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a3968cb428b8087%3A0xaa3e198c43836a65!2sVignan's%20Institute%20Of%20Information%20Technology!5e0!3m2!1sen!2sin!4v1773767014835!5m2!1sen!2sin,"https://www.google.com/maps/dir/?api=1&origin=My+Location&destination=17.771,83.2275&travelmode=walking"
VIIT-P-02,Student Parking,Student parking near campus south,Campus,0,Parking,Locate Student Parking at Campus South within the VIIT Campus Area.,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3800.7244110041142!2d83.16591749999998!3d17.7104743!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a3968cb428b8087%3A0xaa3e198c43836a65!2sVignan's%20Institute%20Of%20Information%20Technology!5e0!3m2!1sen!2sin!4v1773767014835!5m2!1sen!2sin,"https://www.google.com/maps/dir/?api=1&origin=My+Location&destination=17.771,83.2275&travelmode=walking"
DB-01,Physics Lab,Ground Floor - Dharithri Block Left Wing,Dharithri,0,Lab,Enter Dharithri Block → Take staircase/lift to Floor 0 → Turn LEFT at the corridor → Physics Lab is Left Wing,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3800.7244110041142!2d83.16591749999998!3d17.7104743!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a3968cb428b8087%3A0xaa3e198c43836a65!2sVignan's%20Institute%20Of%20Information%20Technology!5e0!3m2!1sen!2sin!4v1773767014835!5m2!1sen!2sin,"https://www.google.com/maps/dir/?api=1&origin=My+Location&destination=17.772,83.2282&travelmode=walking"
DB-02,Engineering Drawing Hall-2,Ground Floor - Left Wing,Dharithri,0,Lab,Enter Dharithri Block → Take staircase/lift to Floor 0 → Turn LEFT at the corridor → Engineering Drawing Hall-2 is Left Wing,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3800.7244110041142!2d83.16591749999998!3d17.7104743!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a3968cb428b8087%3A0xaa3e198c43836a65!2sVignan's%20Institute%20Of%20Information%20Technology!5e0!3m2!1sen!2sin!4v1773767014835!5m2!1sen!2sin,"https://www.google.com/maps/dir/?api=1&origin=My+Location&destination=17.772,83.2282&travelmode=walking"
DB-04,Chemistry Lab,Ground Floor - Left Wing (BSH),Dharithri,0,Lab,Enter Dharithri Block → Take staircase/lift to Floor 0 → Turn LEFT at the corridor → Chemistry Lab is Left Wing (BSH),https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3800.7244110041142!2d83.16591749999998!3d17.7104743!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a3968cb428b8087%3A0xaa3e198c43836a65!2sVignan's%20Institute%20Of%20Information%20Technology!5e0!3m2!1sen!2sin!4v1773767014835!5m2!1sen!2sin,"https://www.google.com/maps/dir/?api=1&origin=My+Location&destination=17.772,83.2282&travelmode=walking"
DA-02(A),Applied Physics Lab,Ground Floor - Right Wing,Dharithri,0,Lab,Enter Dharithri Block → Take staircase/lift to Floor 0 → Turn RIGHT at the corridor → Applied Physics Lab is Right Wing,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3800.7244110041142!2d83.16591749999998!3d17.7104743!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a3968cb428b8087%3A0xaa3e198c43836a65!2sVignan's%20Institute%20Of%20Information%20Technology!5e0!3m2!1sen!2sin!4v1773767014835!5m2!1sen!2sin,"https://www.google.com/maps/dir/?api=1&origin=My+Location&destination=17.772,83.2282&travelmode=walking"
DA-02(B),Dark Room Physics Lab,Ground Floor - Right Wing,Dharithri,0,Lab,Enter Dharithri Block → Take staircase/lift to Floor 0 → Turn RIGHT at the corridor → Dark Room Physics Lab is Right Wing,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3800.7244110041142!2d83.16591749999998!3d17.7104743!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a3968cb428b8087%3A0xaa3e198c43836a65!2sVignan's%20Institute%20Of%20Information%20Technology!5e0!3m2!1sen!2sin!4v1773767014835!5m2!1sen!2sin,"https://www.google.com/maps/dir/?api=1&origin=My+Location&destination=17.772,83.2282&travelmode=walking"
DA-03,Engineering Drawing Hall-1,Ground Floor - Right Wing,Dharithri,0,Lab,Enter Dharithri Block → Take staircase/lift to Floor 0 → Turn RIGHT at the corridor → Engineering Drawing Hall-1 is Right Wing,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3800.7244110041142!2d83.16591749999998!3d17.7104743!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a3968cb428b8087%3A0xaa3e198c43836a65!2sVignan's%20Institute%20Of%20Information%20Technology!5e0!3m2!1sen!2sin!4v1773767014835!5m2!1sen!2sin,"https://www.google.com/maps/dir/?api=1&origin=My+Location&destination=17.772,83.2282&travelmode=walking"
